# Sorted by L2 distance (descending).  '4+4' vs '4+9' at step02
# layer = -1 means a final / post-transformer tensor.
layer  tensor                                         L2       cos
   12  attn_out_pre_oproj_last                    3.0726    0.9290
   10  k_pre_qknorm_last                          3.0476    0.9903
   10  attn_out_post_oproj_last                   2.9327    0.8832
   12  h_after_input_ln_last                      2.8660    0.9760
   12  v_last                                     2.8048    0.9598
    5  q_post_rope_last                           2.8017    0.9997
    5  q_post_qknorm_last                         2.8007    0.9997
    2  q_post_rope_last                           2.7921    0.9995
    2  q_post_qknorm_last                         2.7893    0.9995
   13  h_after_input_ln_last                      2.7307    0.9730
    8  q_pre_qknorm_last                          2.6543    0.9978
    7  hidden_out_last                            2.6284    0.9965
    8  hidden_in_last                             2.6284    0.9965
    8  attn_out_pre_oproj_last                    2.6245    0.9341
   13  v_last                                     2.6193    0.9612
   12  k_pre_qknorm_last                          2.5751    0.9917
   10  attn_out_pre_oproj_last                    2.5054    0.9087
    7  h_after_post_attn_ln_last                  2.4457    0.9957
    6  hidden_out_last                            2.3521    0.9967
    7  hidden_in_last                             2.3521    0.9967
    3  q_post_rope_last                           2.3486    0.9996
    3  q_post_qknorm_last                         2.3472    0.9996
   13  k_pre_qknorm_last                          2.3409    0.9857
   11  h_after_input_ln_last                      2.3241    0.9795
   11  v_last                                     2.2559    0.9631
    6  h_after_post_attn_ln_last                  2.1982    0.9958
   11  k_pre_qknorm_last                          2.1734    0.9910
    5  hidden_out_last                            2.0996    0.9972
    6  hidden_in_last                             2.0996    0.9972
    4  k_post_rope_last                           2.0567    0.9998
    4  k_post_qknorm_last                         2.0559    0.9998
    4  h_after_post_attn_ln_last                  2.0491    0.9991
    9  v_last                                     2.0276    0.9705
    9  h_after_input_ln_last                      1.9960    0.9861
    7  q_pre_qknorm_last                          1.9378    0.9984
    5  h_after_post_attn_ln_last                  1.9364    0.9964
    9  k_pre_qknorm_last                          1.8629    0.9920
    3  h_after_post_attn_ln_last                  1.7988    0.9997
    7  mlp_out_last                               1.5266    0.9828
    5  attn_out_post_oproj_last                   1.4996    0.9343
    2  k_post_rope_last                           1.4254    0.9997
    2  k_post_qknorm_last                         1.4235    0.9997
    6  mlp_out_last                               1.3679    0.9804
    8  h_after_input_ln_last                      1.3287    0.9928
    6  q_pre_qknorm_last                          1.3168    0.9978
    5  mlp_out_last                               1.2906    0.9894
    7  attn_out_post_oproj_last                   1.2689    0.9730
    2  h_after_post_attn_ln_last                  1.2303    0.9999
    3  k_post_rope_last                           1.2262    0.9998
    3  k_post_qknorm_last                         1.2258    0.9998
    8  v_last                                     1.2230    0.9874
    6  attn_out_post_oproj_last                   1.1886    0.9391
    8  k_pre_qknorm_last                          1.1659    0.9968
    1  q_post_rope_last                           1.1240    0.9999
    1  q_post_qknorm_last                         1.1139    0.9999
    7  attn_out_pre_oproj_last                    1.0902    0.9715
    7  h_after_input_ln_last                      1.0533    0.9945
    4  hidden_out_last                            0.9311    0.9990
    5  hidden_in_last                             0.9311    0.9990
    5  attn_out_pre_oproj_last                    0.9255    0.9474
    6  attn_out_pre_oproj_last                    0.9192    0.9524
    7  v_last                                     0.8911    0.9892
   13  attn_probs                                 0.8683    0.9733
    7  k_pre_qknorm_last                          0.8567    0.9982
   15  attn_probs                                 0.7824    0.9738
   17  attn_probs                                 0.7806    0.9783
    1  h_after_post_attn_ln_last                  0.7753    0.9999
    6  v_last                                     0.7700    0.9895
   11  attn_probs                                 0.7695    0.9811
   18  attn_probs                                 0.7516    0.9736
    1  k_post_rope_last                           0.7468    1.0000
    1  k_post_qknorm_last                         0.7404    1.0000
    6  h_after_input_ln_last                      0.7079    0.9938
   19  attn_probs                                 0.6822    0.9820
   16  attn_probs                                 0.6651    0.9856
    6  k_pre_qknorm_last                          0.6595    0.9984
    4  mlp_out_last                               0.6117    0.9977
    5  q_pre_qknorm_last                          0.5865    0.9994
    5  attn_probs                                 0.5859    0.9848
    3  hidden_out_last                            0.5788    0.9991
    4  hidden_in_last                             0.5788    0.9991
    4  attn_out_post_oproj_last                   0.5627    0.9858
    4  q_pre_qknorm_last                          0.5436    0.9994
   12  attn_probs                                 0.5336    0.9912
   23  attn_probs                                 0.5253    0.9897
   24  attn_probs                                 0.5083    0.9923
    9  attn_probs                                 0.4961    0.9943
   21  attn_probs                                 0.4711    0.9904
   14  attn_probs                                 0.4698    0.9925
    3  attn_out_post_oproj_last                   0.4484    0.9906
   20  attn_probs                                 0.4301    0.9930
   26  attn_probs                                 0.4214    0.9957
    1  attn_probs                                 0.4101    0.9903
    4  attn_out_pre_oproj_last                    0.4085    0.9858
    8  attn_probs                                 0.3779    0.9962
    4  attn_probs                                 0.3365    0.9954
    6  attn_probs                                 0.3298    0.9939
   25  attn_probs                                 0.3240    0.9975
   10  attn_probs                                 0.3126    0.9978
   30  attn_probs                                 0.3081    0.9979
    5  v_last                                     0.3031    0.9980
   28  attn_probs                                 0.2941    0.9977
    5  h_after_input_ln_last                      0.2922    0.9981
    3  mlp_out_last                               0.2903    0.9979
    3  q_pre_qknorm_last                          0.2873    0.9998
    2  hidden_out_last                            0.2863    0.9997
    3  hidden_in_last                             0.2863    0.9997
   29  attn_probs                                 0.2846    0.9982
    3  attn_out_pre_oproj_last                    0.2816    0.9911
   22  attn_probs                                 0.2815    0.9975
    5  k_pre_qknorm_last                          0.2800    0.9995
    3  attn_probs                                 0.2733    0.9967
    4  v_last                                     0.2697    0.9976
    4  h_after_input_ln_last                      0.2693    0.9981
    4  k_pre_qknorm_last                          0.2515    0.9995
   27  attn_probs                                 0.2335    0.9988
   34  attn_probs                                 0.2262    0.9989
    1  hidden_out_last                            0.2062    0.9997
    2  hidden_in_last                             0.2062    0.9997
   35  attn_probs                                 0.1966    0.9991
    2  q_pre_qknorm_last                          0.1887    0.9997
   31  attn_probs                                 0.1866    0.9993
    7  attn_probs                                 0.1845    0.9993
   32  attn_probs                                 0.1799    0.9993
    1  attn_out_post_oproj_last                   0.1655    0.9979
    2  attn_out_post_oproj_last                   0.1531    0.9986
    2  mlp_out_last                               0.1488    0.9990
   33  attn_probs                                 0.1463    0.9996
    3  k_pre_qknorm_last                          0.1355    0.9998
    3  v_last                                     0.1328    0.9992
    3  h_after_input_ln_last                      0.1247    0.9994
    0  attn_probs                                 0.1206    0.9993
    2  attn_out_pre_oproj_last                    0.1205    0.9978
    1  attn_out_pre_oproj_last                    0.1198    0.9970
    2  attn_probs                                 0.1082    0.9995
    2  k_pre_qknorm_last                          0.0998    0.9996
    2  v_last                                     0.0951    0.9987
    2  h_after_input_ln_last                      0.0901    0.9991
    0  h_after_post_attn_ln_last                  0.0897    0.9998
    1  mlp_out_last                               0.0798    0.9989
    0  hidden_out_last                            0.0743    0.9999
    1  hidden_in_last                             0.0743    0.9999
    0  mlp_out_last                               0.0645    0.9999
    1  q_pre_qknorm_last                          0.0618    1.0000
    0  attn_out_post_oproj_last                   0.0420    1.0000
    1  k_pre_qknorm_last                          0.0340    1.0000
    0  attn_out_pre_oproj_last                    0.0317    0.9998
    1  v_last                                     0.0300    0.9998
